id_metier,gabarit_id,lieu_id,code_sages,statut,remarques
MOB-000001,13,13,754D110100,en_maintenance,
MOB-000002,21,6,7560135240,en_maintenance,
MOB-000003,11,15,7584P61,dispo_reemploi,
MOB-000004,6,12,7554B04,dispo_reemploi,
MOB-000005,8,12,754D143,en_maintenance,
MOB-000006,26,1,7564B02,en_maintenance,
MOB-000007,26,6,758B344100,dispo_reemploi,
MOB-000008,27,4,7560355021,en_service,
MOB-000009,9,6,7564P61,dispo_reemploi,
MOB-000010,27,15,7584P61,en_service,
MOB-000011,6,14,7560203,au_rebut,
MOB-000012,19,8,7549E23001,au_rebut,
MOB-000013,6,13,754D142,au_rebut,
MOB-000014,21,6,7560100,dispo_reemploi,
MOB-000015,11,10,7584R01,en_service,
MOB-000016,16,13,754F111100,au_rebut,
MOB-000017,18,15,754B243,en_maintenance,
MOB-000018,10,17,7547P40600,en_maintenance,
MOB-000019,13,4,7560355021,dispo_reemploi,
MOB-000020,21,6,7564P61,en_maintenance,
MOB-000021,24,15,756B140,en_service,
MOB-000022,9,15,7570103251,en_service,
MOB-000023,26,4,7560355021,en_maintenance,
MOB-000024,10,1,7560305,dispo_reemploi,
MOB-000025,21,5,7584B06,en_service,
MOB-000026,12,5,7574R02,dispo_reemploi,
MOB-000027,11,2,7577P32600,au_rebut,
MOB-000028,3,15,7580250021,dispo_reemploi,
MOB-000029,4,13,754C148,au_rebut,
MOB-000030,13,2,7570E12100,en_service,
MOB-000031,4,16,7580381,dispo_reemploi,
MOB-000032,14,12,7544121111,dispo_reemploi,
MOB-000033,1,6,7560E12,dispo_reemploi,
MOB-000034,20,14,7564R04,dispo_reemploi,
MOB-000035,26,15,7584P61,en_maintenance,
MOB-000036,27,15,7570103251,en_service,
MOB-000037,11,6,7560102,en_maintenance,
MOB-000038,19,3,7547P41600,au_rebut,
MOB-000039,13,13,754D141100,au_rebut,
MOB-000040,9,14,7560251,dispo_reemploi,
MOB-000041,12,12,7554B05101,au_rebut,
MOB-000042,20,6,756B143,au_rebut,
MOB-000043,26,9,7550251,en_service,
MOB-000044,11,12,7544121111,dispo_reemploi,
MOB-000045,18,12,7544121111,au_rebut,
MOB-000046,3,11,7540102245,dispo_reemploi,
MOB-000047,7,14,7564R05,en_maintenance,
MOB-000048,17,16,7587P33600,au_rebut,
MOB-000049,9,12,B214P01260,en_maintenance,
MOB-000050,22,4,7567P34600,au_rebut,
MOB-000051,12,10,7580401,en_service,
MOB-000052,2,11,7540102245,au_rebut,
MOB-000053,5,16,7580235,dispo_reemploi,
MOB-000054,4,16,7587P33600,dispo_reemploi,
MOB-000055,4,14,7567P32600,en_service,
MOB-000056,8,6,754B212,au_rebut,
MOB-000057,21,4,7567P34600,en_service,
MOB-000058,3,2,7570450,au_rebut,
MOB-000059,18,13,754C240,dispo_reemploi,
MOB-000060,27,11,754D146,en_maintenance,
MOB-000061,3,1,7564B05,en_service,
MOB-000062,5,6,7560102,en_service,
MOB-000063,12,6,7560E11,en_service,
MOB-000064,18,17,7547E40,en_maintenance,
MOB-000065,6,2,7574R05,en_service,
MOB-000066,26,5,7544B11,dispo_reemploi,
MOB-000067,9,13,754F114100,en_service,
MOB-000068,12,13,754D147100,en_maintenance,
MOB-000069,1,6,756F110,en_service,
MOB-000070,21,15,7587P32600,au_rebut,
MOB-000071,26,17,7544R01,en_maintenance,
MOB-000072,4,13,754C141,en_maintenance,
MOB-000073,14,1,7564B06101,en_maintenance,
MOB-000074,22,14,7560251,dispo_reemploi,
MOB-000075,26,15,754B245,dispo_reemploi,
MOB-000076,23,1,7564B05,en_service,
MOB-000077,6,15,7584B05101,en_service,
MOB-000078,20,9,7550251,dispo_reemploi,
MOB-000079,27,6,756B143,dispo_reemploi,
MOB-000080,22,13,754C242101,en_maintenance,
MOB-000081,20,10,7580481,en_maintenance,
MOB-000082,17,15,7584R05100,en_service,
MOB-000083,23,13,754C200101,en_service,
MOB-000084,4,8,7549E24,en_maintenance,
MOB-000085,25,13,7549E27001,en_maintenance,
MOB-000086,4,7,7577P34600,dispo_reemploi,
MOB-000087,6,5,7544B15,au_rebut,
MOB-000088,25,11,7540352,en_service,
MOB-000089,26,11,7540102245,en_maintenance,
MOB-000090,5,6,754B246100,dispo_reemploi,
MOB-000091,27,15,7580250021,en_service,
MOB-000092,15,13,754D141100,en_maintenance,
MOB-000093,17,7,7574B12101,dispo_reemploi,
MOB-000094,7,11,7540302,en_maintenance,
MOB-000095,22,5,7544B07101,en_service,
MOB-000096,5,14,7564R04,dispo_reemploi,
MOB-000097,3,5,7584B06,dispo_reemploi,
MOB-000098,1,4,7567P34600,en_service,
MOB-000099,22,6,7560E11,au_rebut,
MOB-000100,14,1,7550351,en_service,
MOB-000101,18,1,7564B06101,en_service,
MOB-000102,18,12,7549E28,au_rebut,
MOB-000103,25,6,758B346100,dispo_reemploi,
MOB-000104,8,15,7574B01,en_maintenance,
